fname,label
047e0d21.wav,Flute Harmonica Saxophone
048470a5.wav,Squeak Laughter Cough
04a301e9.wav,Saxophone Oboe Clarinet
04ab46a9.wav,Cello Gong Double_bass
04ab4e22.wav,Tambourine Keys_jangling Hi-hat
04b031df.wav,Hi-hat Tearing Snare_drum
04b249bd.wav,Drawer_open_or_close Squeak Knock
04b7ef77.wav,Flute Violin_or_fiddle Oboe
04bdae57.wav,Hi-hat Tearing Snare_drum
04c2ed9c.wav,Clarinet Saxophone Flute
04d15abd.wav,Trumpet Saxophone Laughter
04dbef05.wav,Cello Gong Fart
04dddbf5.wav,Bass_drum Electric_piano Hi-hat
04ecda67.wav,Knock Bass_drum Gunshot_or_gunfire
04ed8568.wav,Bass_drum Knock Gunshot_or_gunfire
04f232c6.wav,Bass_drum Gunshot_or_gunfire Gong
04f46a27.wav,Bass_drum Double_bass Acoustic_guitar
04f85a49.wav,Acoustic_guitar Flute Bass_drum
04fb8280.wav,Acoustic_guitar Flute Saxophone
0509ce2f.wav,Hi-hat Tearing Tambourine
0520faf4.wav,Clarinet Flute Violin_or_fiddle
05296d2a.wav,Clarinet Cello Saxophone
0529d428.wav,Bass_drum Gunshot_or_gunfire Knock
0539bb41.wav,Acoustic_guitar Fart Cello
053a5fc6.wav,Hi-hat Tearing Shatter
053b4c56.wav,Fart Harmonica Burping_or_eructation
053e7bb5.wav,Snare_drum Hi-hat Squeak
054508f3.wav,Bass_drum Snare_drum Double_bass
0548124b.wav,Bass_drum Gunshot_or_gunfire Knock
054dbf39.wav,Violin_or_fiddle Clarinet Flute
054eeab6.wav,Bark Gong Laughter
05562991.wav,Flute Oboe Harmonica
0558af35.wav,Meow Squeak Trumpet
0568741b.wav,Flute Saxophone Acoustic_guitar
05723b3a.wav,Cello Gong Knock
057425e6.wav,Fart Writing Cough
0576d7ba.wav,Fart Squeak Shatter
057c2963.wav,Clarinet Flute Saxophone
0586f0e0.wav,Meow Telephone Flute
058a0e87.wav,Bass_drum Double_bass Gong
058e63ea.wav,Tambourine Keys_jangling Scissors
0594d8c2.wav,Hi-hat Cough Squeak
059d5420.wav,Saxophone Oboe Clarinet
059ffef4.wav,Flute Trumpet Acoustic_guitar
05a15a14.wav,Flute Violin_or_fiddle Oboe
05ad10fb.wav,Cello Trumpet Flute
05ae0583.wav,Trumpet Flute Squeak
05c2056b.wav,Flute Clarinet Cello
05c8453f.wav,Fireworks Squeak Gunshot_or_gunfire
05cae96f.wav,Bass_drum Snare_drum Tearing
05cc88d2.wav,Shatter Hi-hat Tearing
05ccb0ff.wav,Acoustic_guitar Writing Fart
05f3c709.wav,Squeak Laughter Trumpet
05f40290.wav,Cello Double_bass Microwave_oven
05fc58ee.wav,Gunshot_or_gunfire Bass_drum Snare_drum
05fca090.wav,Flute Trumpet Saxophone
060428bd.wav,Acoustic_guitar Electric_piano Cello
0608d8b7.wav,Squeak Fireworks Double_bass
06123abf.wav,Acoustic_guitar Violin_or_fiddle Burping_or_eructation
062c3119.wav,Clarinet Cello Saxophone
062f9f91.wav,Squeak Laughter Fart
06308a6b.wav,Cello Electric_piano Gong
0630cf5e.wav,Acoustic_guitar Electric_piano Gong
0638da1a.wav,Snare_drum Fireworks Gunshot_or_gunfire
063d81f8.wav,Clarinet Cello Saxophone
06718b47.wav,Trumpet Clarinet Saxophone
0671a98a.wav,Trumpet Flute Saxophone
06775f3c.wav,Acoustic_guitar Snare_drum Cough
0678a571.wav,Trumpet Saxophone Flute
067d6a04.wav,Flute Clarinet Violin_or_fiddle
06827666.wav,Acoustic_guitar Flute Telephone
0682b1f6.wav,Flute Violin_or_fiddle Saxophone
0689d2f6.wav,Bass_drum Double_bass Knock
069b1efa.wav,Flute Trumpet Saxophone
069b4384.wav,Bass_drum Knock Microwave_oven
069e4fb3.wav,Squeak Fireworks Writing
06b27161.wav,Squeak Meow Laughter
06bb374e.wav,Fart Hi-hat Cough
06bd2694.wav,Bass_drum Gunshot_or_gunfire Snare_drum
06c33b21.wav,Chime Acoustic_guitar Tambourine
06c535eb.wav,Telephone Acoustic_guitar Squeak
06d4796b.wav,Flute Glockenspiel Squeak
06dcd7a0.wav,Squeak Fireworks Shatter
06e1d866.wav,Laughter Squeak Bark
06e4a7a3.wav,Flute Violin_or_fiddle Clarinet
06e4c394.wav,Violin_or_fiddle Saxophone Flute
06ee2e39.wav,Saxophone Meow Trumpet
06faccbf.wav,Acoustic_guitar Fart Tambourine
06fbe4da.wav,Bass_drum Double_bass Gong
070096e9.wav,Clarinet Flute Saxophone
070204c5.wav,Cowbell Finger_snapping Flute
07038d45.wav,Squeak Flute Telephone
07063bc9.wav,Keys_jangling Scissors Writing
070fea08.wav,Gong Flute Trumpet
0716b51d.wav,Double_bass Knock Cello
071b2b62.wav,Acoustic_guitar Chime Writing
071e7724.wav,Bass_drum Knock Cello
071f4c75.wav,Clarinet Oboe Violin_or_fiddle
0722054b.wav,Clarinet Saxophone Flute
07256457.wav,Trumpet Saxophone Flute
0730b080.wav,Keys_jangling Hi-hat Bass_drum
0736d78e.wav,Fart Laughter Writing
073d6755.wav,Knock Microwave_oven Squeak
0745def5.wav,Acoustic_guitar Flute Saxophone
0751e141.wav,Hi-hat Snare_drum Gunshot_or_gunfire
0755629f.wav,Knock Bass_drum Squeak
075591e8.wav,Bass_drum Knock Snare_drum
0760a9e7.wav,Squeak Shatter Chime
076176f4.wav,Finger_snapping Telephone Bass_drum
0761d26b.wav,Applause Squeak Laughter
07642d1b.wav,Cello Acoustic_guitar Drawer_open_or_close
07682400.wav,Oboe Clarinet Trumpet
076d3b6c.wav,Trumpet Saxophone Oboe
0776b083.wav,Hi-hat Tearing Tambourine
07776603.wav,Trumpet Saxophone Flute
0779cb34.wav,Meow Laughter Telephone
077a7711.wav,Trumpet Fart Oboe
0790d4f8.wav,Hi-hat Tearing Snare_drum
079367a7.wav,Flute Saxophone Violin_or_fiddle
07954767.wav,Bass_drum Electric_piano Acoustic_guitar
07989042.wav,Trumpet Flute Saxophone
0799369e.wav,Clarinet Flute Violin_or_fiddle
079faac8.wav,Harmonica Flute Clarinet
07a8ddbf.wav,Shatter Finger_snapping Telephone
07ab0dcf.wav,Cello Gong Acoustic_guitar
07b0fe34.wav,Fart Writing Tearing
07b9c04c.wav,Bass_drum Hi-hat Finger_snapping
07bac4d1.wav,Hi-hat Squeak Telephone
07c4fd98.wav,Saxophone Flute Electric_piano
07c8463e.wav,Cough Laughter Fart
07c95625.wav,Meow Harmonica Fart
07cf422e.wav,Acoustic_guitar Double_bass Saxophone
07cffb09.wav,Laughter Bark Cough
07d5cca9.wav,Clarinet Saxophone Flute
07d62787.wav,Saxophone Violin_or_fiddle Clarinet
07dcd326.wav,Bass_drum Gunshot_or_gunfire Snare_drum
07eef0c0.wav,Cello Acoustic_guitar Snare_drum
07f06f30.wav,Bass_drum Gunshot_or_gunfire Knock
07f1dab7.wav,Hi-hat Tambourine Keys_jangling
07fbde49.wav,Trumpet Clarinet Flute
0802d9ec.wav,Trumpet Flute Saxophone
080b53cc.wav,Acoustic_guitar Knock Gong
081fbfd3.wav,Fart Tearing Fireworks
082cd9fe.wav,Acoustic_guitar Flute Squeak
083bba3c.wav,Clarinet Oboe Trumpet
0841041b.wav,Acoustic_guitar Cello Gong
08426322.wav,Tearing Writing Shatter
0844d331.wav,Oboe Flute Telephone
08593822.wav,Clarinet Trumpet Saxophone
085a9c5b.wav,Cello Saxophone Violin_or_fiddle
087248e6.wav,Clarinet Violin_or_fiddle Cello
087ed746.wav,Saxophone Flute Trumpet
08854d8c.wav,Bass_drum Snare_drum Cowbell
088bb565.wav,Cello Acoustic_guitar Squeak
08904a43.wav,Violin_or_fiddle Gong Chime
08911c36.wav,Fart Snare_drum Gunshot_or_gunfire
08941c53.wav,Knock Drawer_open_or_close Keys_jangling
0894d11f.wav,Hi-hat Snare_drum Tambourine
089f1097.wav,Trumpet Knock Fireworks
089f44b1.wav,Fart Tearing Squeak
08a82608.wav,Clarinet Flute Saxophone
08be795d.wav,Keys_jangling Tambourine Shatter
08c9a7f7.wav,Bass_drum Snare_drum Hi-hat
08d23bb8.wav,Gong Gunshot_or_gunfire Fireworks
08d9501a.wav,Snare_drum Squeak Applause
08ddd56e.wav,Bass_drum Hi-hat Gunshot_or_gunfire
08e27974.wav,Shatter Keys_jangling Gunshot_or_gunfire
08ecc0a1.wav,Bass_drum Gunshot_or_gunfire Snare_drum
08f4b16b.wav,Fart Tearing Squeak
08fcf830.wav,Flute Squeak Violin_or_fiddle
0921f1f2.wav,Acoustic_guitar Flute Electric_piano
092a73e5.wav,Bass_drum Knock Telephone
092d89a0.wav,Cello Gong Acoustic_guitar
093963d5.wav,Cello Double_bass Trumpet
0943fc2d.wav,Bass_drum Knock Snare_drum
09481a4c.wav,Bass_drum Snare_drum Hi-hat
095428e8.wav,Cello Saxophone Violin_or_fiddle
09553ca1.wav,Bass_drum Double_bass Hi-hat
095dd27c.wav,Writing Keys_jangling Drawer_open_or_close
0967cebd.wav,Saxophone Flute Clarinet
0969d9d1.wav,Cello Violin_or_fiddle Flute
096c3969.wav,Saxophone Clarinet Harmonica
096fd039.wav,Fart Hi-hat Snare_drum
0976741c.wav,Acoustic_guitar Flute Telephone
097cdef5.wav,Violin_or_fiddle Fart Squeak
0984ea36.wav,Acoustic_guitar Cello Double_bass
0995f876.wav,Saxophone Flute Clarinet
09983766.wav,Tambourine Fireworks Hi-hat
09a14a8e.wav,Bass_drum Hi-hat Snare_drum
09b3e21c.wav,Clarinet Flute Saxophone
09c7044c.wav,Bass_drum Gunshot_or_gunfire Knock
09c71587.wav,Cello Acoustic_guitar Saxophone
09c8f697.wav,Bass_drum Knock Electric_piano
09c9b50b.wav,Saxophone Violin_or_fiddle Trumpet
09cba9de.wav,Cello Laughter Cough
09d0535a.wav,Snare_drum Shatter Gunshot_or_gunfire
09d2d1c0.wav,Saxophone Flute Telephone
09e5a0ee.wav,Cello Electric_piano Gong
09e83f2a.wav,Saxophone Cello Acoustic_guitar
09eb9ddb.wav,Cello Gong Double_bass
09ec3afd.wav,Microwave_oven Bass_drum Gunshot_or_gunfire
09f02a4a.wav,Knock Fireworks Tearing
09f55e64.wav,Clarinet Flute Saxophone
0a001dfe.wav,Flute Violin_or_fiddle Laughter
0a00b1a8.wav,Flute Cello Saxophone
0a0b26cc.wav,Bass_drum Electric_piano Flute
0a23fde2.wav,Meow Squeak Shatter
0a3d6e55.wav,Microwave_oven Computer_keyboard Drawer_open_or_close
0a429107.wav,Hi-hat Finger_snapping Shatter
0a5cbf90.wav,Flute Electric_piano Telephone
0a5f818e.wav,Meow Flute Squeak
0a6219e5.wav,Cello Double_bass Trumpet
0a67826b.wav,Bass_drum Double_bass Snare_drum
0a695221.wav,Scissors Tearing Hi-hat
0a6ecade.wav,Bass_drum Electric_piano Hi-hat
0a71e42d.wav,Bass_drum Gunshot_or_gunfire Knock
0a79ddf7.wav,Clarinet Flute Saxophone
0a7c7060.wav,Shatter Telephone Microwave_oven
0a7fbd54.wav,Hi-hat Tambourine Shatter
0a7ff75b.wav,Bass_drum Snare_drum Fart
0a848902.wav,Flute Squeak Violin_or_fiddle
0a8b7299.wav,Finger_snapping Knock Telephone
0a8d849e.wav,Bass_drum Gunshot_or_gunfire Snare_drum
0a979caf.wav,Clarinet Saxophone Flute
0aaa4d2f.wav,Bass_drum Knock Electric_piano
0aab4d0f.wav,Trumpet Flute Saxophone
0ab56675.wav,Acoustic_guitar Fart Cough
0ab99db4.wav,Violin_or_fiddle Acoustic_guitar Laughter
0acc6947.wav,Electric_piano Cello Burping_or_eructation
0ace560e.wav,Clarinet Saxophone Oboe
0ace703f.wav,Acoustic_guitar Flute Saxophone
0ad916a0.wav,Double_bass Cello Gong
0adf81d5.wav,Snare_drum Hi-hat Fart
0ae1945c.wav,Acoustic_guitar Cello Gong
0af843ea.wav,Gunshot_or_gunfire Bass_drum Fireworks
0b0132c8.wav,Hi-hat Tearing Tambourine
0b0427e2.wav,Harmonica Electric_piano Flute
0b07dc21.wav,Clarinet Saxophone Oboe
0b0df9a0.wav,Fart Hi-hat Gong
0b157a67.wav,Bass_drum Snare_drum Acoustic_guitar
0b232eb1.wav,Bass_drum Snare_drum Double_bass
0b244358.wav,Trumpet Fart Saxophone
0b273087.wav,Clarinet Saxophone Flute
0b278db1.wav,Computer_keyboard Applause Squeak
0b2f18fa.wav,Drawer_open_or_close Squeak Computer_keyboard
0b321436.wav,Bass_drum Gunshot_or_gunfire Knock
0b32ee85.wav,Double_bass Knock Cello
0b38f744.wav,Hi-hat Snare_drum Gunshot_or_gunfire
0b3c86c9.wav,Writing Computer_keyboard Tearing
0b430780.wav,Gunshot_or_gunfire Fart Knock
0b495758.wav,Fart Shatter Keys_jangling
0b4bb93c.wav,Tambourine Keys_jangling Hi-hat
0b50d4c8.wav,Acoustic_guitar Flute Snare_drum
0b58b074.wav,Hi-hat Writing Shatter
0b58c7e9.wav,Clarinet Saxophone Cello
0b5fb43f.wav,Snare_drum Squeak Trumpet
0b62b09f.wav,Clarinet Cello Saxophone
0b752229.wav,Saxophone Flute Telephone
0b763e4f.wav,Trumpet Squeak Saxophone
0b79fdea.wav,Keys_jangling Bass_drum Scissors
0b7b694c.wav,Double_bass Knock Bass_drum
0b8844bd.wav,Double_bass Acoustic_guitar Violin_or_fiddle
0b8b79ad.wav,Bark Writing Chime
0b8dfa34.wav,Clarinet Flute Oboe
0b9415cd.wav,Flute Clarinet Violin_or_fiddle
0ba34dec.wav,Clarinet Saxophone Flute
0baa37ed.wav,Hi-hat Telephone Saxophone
0bb6a21d.wav,Cello Snare_drum Violin_or_fiddle
0bb807c0.wav,Clarinet Trumpet Flute
0bc52ede.wav,Acoustic_guitar Flute Saxophone
0bc8ad78.wav,Keys_jangling Scissors Tambourine
0bc938fb.wav,Cello Gong Double_bass
0bd5adf9.wav,Telephone Flute Meow
0bdc064a.wav,Flute Chime Violin_or_fiddle
0be5aa79.wav,Bass_drum Bus Gunshot_or_gunfire
0be7620d.wav,Bass_drum Electric_piano Gunshot_or_gunfire
0beb8325.wav,Cowbell Acoustic_guitar Violin_or_fiddle
0bec9842.wav,Clarinet Saxophone Flute
0befc5cb.wav,Acoustic_guitar Cough Applause
0bf9fbd3.wav,Bass_drum Knock Double_bass
0c13feb9.wav,Acoustic_guitar Saxophone Cello
0c1bb3e9.wav,Flute Saxophone Trumpet
0c1fbece.wav,Trumpet Applause Saxophone
0c27bc2d.wav,Acoustic_guitar Computer_keyboard Telephone
0c31ca4c.wav,Flute Saxophone Trumpet
0c3b5861.wav,Clarinet Saxophone Flute
0c3dfac0.wav,Clarinet Gong Acoustic_guitar
0c40bbb0.wav,Bass_drum Electric_piano Flute
0c4de54a.wav,Clarinet Flute Violin_or_fiddle
0c561099.wav,Trumpet Clarinet Saxophone
0c58f71a.wav,Clarinet Saxophone Cello
0c654cc0.wav,Trumpet Saxophone Oboe
0c6ccd3a.wav,Trumpet Flute Clarinet
0c7311f7.wav,Flute Violin_or_fiddle Electric_piano
0c736a0f.wav,Trumpet Flute Saxophone
0c7a124d.wav,Clarinet Saxophone Cello
0c7a8b1b.wav,Clarinet Oboe Flute
0c7c51fa.wav,Bass_drum Gong Cello
0c8071a4.wav,Bass_drum Acoustic_guitar Electric_piano
0c80cb97.wav,Trumpet Saxophone Flute
0c80f6dc.wav,Bass_drum Cello Knock
0c91a6b2.wav,Meow Harmonica Squeak
0c9250b8.wav,Bass_drum Hi-hat Electric_piano
0ca5bba6.wav,Hi-hat Gunshot_or_gunfire Fireworks
0cb0d029.wav,Burping_or_eructation Laughter Trumpet
0cb48b8e.wav,Flute Trumpet Oboe
0cb5b4a8.wav,Bass_drum Knock Double_bass
0cbe7e42.wav,Harmonica Violin_or_fiddle Flute
0cc0af58.wav,Cello Knock Double_bass
0cd0ec27.wav,Bass_drum Flute Acoustic_guitar
0cd0f2ef.wav,Acoustic_guitar Chime Tambourine
0ce09e4a.wav,Flute Trumpet Saxophone
0ce127f9.wav,Meow Scissors Writing
0ceaab13.wav,Bass_drum Knock Double_bass
0ceb2140.wav,Fart Acoustic_guitar Squeak
0cec29e8.wav,Flute Violin_or_fiddle Cello
0cefa487.wav,Acoustic_guitar Tambourine Snare_drum
0cf2bcda.wav,Acoustic_guitar Snare_drum Double_bass
0cf319fa.wav,Flute Saxophone Clarinet
0cf34718.wav,Clarinet Flute Oboe
0cf34f6e.wav,Gunshot_or_gunfire Snare_drum Knock
0d056139.wav,Bass_drum Snare_drum Hi-hat
0d1bf5b4.wav,Squeak Microwave_oven Knock
0d20e8f7.wav,Bass_drum Knock Double_bass
0d23dd3a.wav,Clarinet Violin_or_fiddle Meow
0d242640.wav,Clarinet Saxophone Cello
0d2d13b7.wav,Hi-hat Gong Flute
0d34cc5a.wav,Gunshot_or_gunfire Snare_drum Tearing
0d415918.wav,Shatter Tearing Microwave_oven
0d449433.wav,Bass_drum Hi-hat Snare_drum
0d4ca47e.wav,Hi-hat Snare_drum Telephone
0d5bb142.wav,Trumpet Flute Harmonica
0d6e2584.wav,Cough Squeak Drawer_open_or_close
0d7549a4.wav,Oboe Flute Clarinet
0d7f7f76.wav,Acoustic_guitar Cello Gong
0d89b6a4.wav,Clarinet Flute Saxophone
0d8d0cbd.wav,Hi-hat Saxophone Harmonica
0d90d498.wav,Cello Acoustic_guitar Gong
0d950fc6.wav,Bass_drum Electric_piano Gunshot_or_gunfire
0d976b22.wav,Bass_drum Snare_drum Hi-hat
0d98574f.wav,Cello Flute Saxophone
0d99cfde.wav,Trumpet Saxophone Flute
0d9de265.wav,Clarinet Saxophone Oboe
0da2acf4.wav,Fart Tearing Writing
0da592f2.wav,Clarinet Saxophone Flute
0daa7a68.wav,Bass_drum Gong Cello
0db0fb36.wav,Squeak Meow Microwave_oven
0db21ee8.wav,Clarinet Oboe Flute
0db35f79.wav,Bass_drum Snare_drum Hi-hat
0db65bf4.wav,Clarinet Saxophone Flute
0db6ac5f.wav,Trumpet Saxophone Flute
0dbb37b3.wav,Acoustic_guitar Violin_or_fiddle Chime
0dc193fe.wav,Tearing Shatter Hi-hat
0dc7fd72.wav,Bass_drum Electric_piano Flute
0dd0e034.wav,Flute Violin_or_fiddle Meow
0dd68380.wav,Acoustic_guitar Burping_or_eructation Cello
0de4b9f0.wav,Acoustic_guitar Bass_drum Double_bass
0def8cc7.wav,Acoustic_guitar Trumpet Snare_drum
0df38dfd.wav,Cello Gong Double_bass
0e06ba41.wav,Acoustic_guitar Writing Fart
0e12c15c.wav,Bass_drum Hi-hat Electric_piano
0e1bd033.wav,Applause Fireworks Laughter
0e23a6f4.wav,Keys_jangling Bass_drum Knock
0e26ccc9.wav,Squeak Meow Bark
0e2d428f.wav,Clarinet Saxophone Trumpet
0e2ff60a.wav,Clarinet Flute Saxophone
0e373704.wav,Flute Trumpet Squeak
0e398b30.wav,Clarinet Saxophone Flute
0e3b99ce.wav,Fart Snare_drum Cough
0e3cdc5d.wav,Cello Gong Double_bass
0e3d8062.wav,Shatter Fireworks Gunshot_or_gunfire
0e45be94.wav,Cello Knock Bass_drum
0e468de3.wav,Bass_drum Knock Gunshot_or_gunfire
0e507ea4.wav,Flute Oboe Saxophone
0e5184a9.wav,Gong Acoustic_guitar Electric_piano
0e551b02.wav,Acoustic_guitar Flute Saxophone
0e596194.wav,Clarinet Saxophone Flute
0e596a0b.wav,Bass_drum Acoustic_guitar Flute
0e5a2f7e.wav,Bass_drum Gunshot_or_gunfire Snare_drum
0e5e9be8.wav,Double_bass Cello Acoustic_guitar
0e666b44.wav,Clarinet Cello Oboe
0e6a2b2e.wav,Squeak Meow Chime
0e70bdaa.wav,Flute Saxophone Trumpet
0e722a03.wav,Bass_drum Snare_drum Hi-hat
0e7aea38.wav,Gong Cowbell Trumpet
0e7d6e2d.wav,Cello Double_bass Trumpet
0e7e36b2.wav,Bass_drum Snare_drum Knock
0e889160.wav,Bass_drum Electric_piano Flute
0e8ccc81.wav,Cello Acoustic_guitar Saxophone
0e95fbb5.wav,Cello Violin_or_fiddle Acoustic_guitar
0e9c6c50.wav,Acoustic_guitar Bass_drum Cough
0ea36a9f.wav,Clarinet Oboe Flute
0ea9839a.wav,Bass_drum Gunshot_or_gunfire Knock
